# Cactus benchmark results
#    processes = procs
#    nodes     = procs / ppn
#
# benchmark steps size machine   procs ppn tpp iter   walltime cputime
Bench_McLachlan_Carpet_1lev 000010 0020 franklin   000001 01 01 00   1.73490810 1.73610800
Bench_McLachlan_Carpet_1lev 000010 0020 franklin   000002 02 01 00   2.28986692 2.23614000
Bench_McLachlan_Carpet_1lev 000010 0020 franklin   000004 02 01 00   2.70555806 2.63216500
Bench_McLachlan_Carpet_1lev 000010 0020 franklin   000008 02 01 00   3.22874618 3.16819800
Bench_McLachlan_Carpet_1lev 000010 0020 franklin   000016 02 01 00   3.67908597 3.60022500
Bench_McLachlan_Carpet_1lev 000010 0020 franklin   000032 02 01 00   4.05500793 3.98024900
Bench_McLachlan_Carpet_1lev 000010 0025 franklin   000001 01 01 00   3.71288204 3.68023000
Bench_McLachlan_Carpet_1lev 000010 0025 franklin   000002 02 01 00   5.16648293 5.07231700
Bench_McLachlan_Carpet_1lev 000010 0025 franklin   000004 02 01 00   5.27627707 5.22032700
Bench_McLachlan_Carpet_1lev 000010 0025 franklin   000008 02 01 00   7.16140103 7.05644100
Bench_McLachlan_Carpet_1lev 000010 0025 franklin   000016 02 01 00   7.06402612 6.99243700
Bench_McLachlan_Carpet_1lev 000010 0025 franklin   000032 02 01 00   7.57856798 7.49646900
Bench_McLachlan_Carpet_1lev 000010 0030 franklin   000001 01 01 00   9.87566495 9.84061500
Bench_McLachlan_Carpet_1lev 000010 0030 franklin   000002 02 01 00   7.85990715 7.72448300
Bench_McLachlan_Carpet_1lev 000010 0030 franklin   000004 02 01 00   8.50752616 8.36852300
Bench_McLachlan_Carpet_1lev 000010 0030 franklin   000008 02 01 00   9.48123288 9.36058500
Bench_McLachlan_Carpet_1lev 000010 0030 franklin   000016 02 01 00   11.09667182 10.92068300
Bench_McLachlan_Carpet_1lev 000010 0030 franklin   000032 02 01 00   11.55770493 11.45271600
Bench_McLachlan_Carpet_1lev 000010 0040 franklin   000001 01 01 00   17.41652703 17.34908400
Bench_McLachlan_Carpet_1lev 000010 0040 franklin   000002 02 01 00   21.05660105 20.90930700
Bench_McLachlan_Carpet_1lev 000010 0040 franklin   000004 02 01 00   18.87209702 18.74917200
Bench_McLachlan_Carpet_1lev 000010 0040 franklin   000008 02 01 00   20.61538601 20.45727900
Bench_McLachlan_Carpet_1lev 000010 0040 franklin   000016 02 01 00   24.30715609 24.11350700
Bench_McLachlan_Carpet_1lev 000010 0040 franklin   000032 02 01 00   25.65717196 25.52159500
Bench_McLachlan_Carpet_1lev 000010 0050 franklin   000001 01 01 00   28.26538205 28.19776300
Bench_McLachlan_Carpet_1lev 000010 0050 franklin   000002 02 01 00   36.60402799 36.39827500
Bench_McLachlan_Carpet_1lev 000010 0050 franklin   000004 02 01 00   36.14085817 35.93424600
Bench_McLachlan_Carpet_1lev 000010 0050 franklin   000008 02 01 00   43.42456198 43.13069600
Bench_McLachlan_Carpet_1lev 000010 0050 franklin   000016 02 01 00   43.06022906 42.77467300
Bench_McLachlan_Carpet_1lev 000010 0050 franklin   000032 02 01 00   43.15066195 42.85067800
Bench_McLachlan_Carpet_1lev 000010 0065 franklin   000001 01 01 00   74.90698600 74.60066200
Bench_McLachlan_Carpet_1lev 000010 0065 franklin   000002 02 01 00   72.91007900 72.56453500
Bench_McLachlan_Carpet_1lev 000010 0065 franklin   000002 02 01 01   74.85407901 74.52865800
Bench_McLachlan_Carpet_1lev 000010 0065 franklin   000002 02 01 02   74.86063313 74.55665900
Bench_McLachlan_Carpet_1lev 000010 0065 franklin   000004 02 01 00   97.63128304 97.34208400
Bench_McLachlan_Carpet_1lev 000010 0065 franklin   000004 02 01 01   100.02146292 99.70623200
Bench_McLachlan_Carpet_1lev 000010 0065 franklin   000004 02 01 02   100.06580997 99.64222700
Bench_McLachlan_Carpet_1lev 000010 0065 franklin   000008 02 01 00   88.70436311 88.22951400
Bench_McLachlan_Carpet_1lev 000010 0065 franklin   000008 02 01 01   90.71616292 90.08563000
Bench_McLachlan_Carpet_1lev 000010 0065 franklin   000008 02 01 02   90.76336694 90.27764200
Bench_McLachlan_Carpet_1lev 000010 0065 franklin   000016 02 01 00   90.36511183 89.74960900
Bench_McLachlan_Carpet_1lev 000010 0065 franklin   000016 02 01 01   92.53641486 91.95374700
Bench_McLachlan_Carpet_1lev 000010 0065 franklin   000016 02 01 02   92.60425115 92.05375300
Bench_McLachlan_Carpet_1lev 000010 0065 franklin   000032 02 01 00   106.40569401 105.86261600
Bench_McLachlan_Carpet_1lev 000010 0065 franklin   000032 02 01 01   109.13344717 108.63878900
Bench_McLachlan_Carpet_1lev 000010 0065 franklin   000032 02 01 02   109.15445900 108.67079100
Bench_McLachlan_Carpet_1lev 000010 0065 franklin   000064 02 01 00   106.51485801 105.81861400
Bench_McLachlan_Carpet_1lev 000010 0065 franklin   000064 02 01 01   108.88701200 108.16676000
Bench_McLachlan_Carpet_1lev 000010 0065 franklin   000064 02 01 02   108.88465595 108.23076400
