# Cactus benchmark results
#    processes = procs
#    nodes     = procs / ppn
#
# benchmark steps size machine   procs ppn tpp iter   walltime cputime
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000001 01 01 00   2.18004488 2.13000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000002 01 01 00   2.53055298 2.51000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000002 02 01 00   2.72184103 2.69000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000002 02 02 00   2.54615501 4.86000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000004 01 01 00   2.96957104 2.91000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000004 02 01 00   3.04461709 3.01000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000004 02 02 00   3.12482799 6.15000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000004 04 01 00   3.34263301 3.26000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000004 04 02 00   3.35837095 6.50000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000004 04 04 00   3.27572290 12.69000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000008 01 01 00   3.49049698 3.44000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000008 02 01 00   3.62397398 3.55000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000008 02 02 00   3.89000105 7.58000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000008 04 01 00   3.94215002 3.88000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000008 04 02 00   4.20551997 8.24000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000008 04 04 00   3.86819608 15.29000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000008 08 01 00   5.99909205 5.52000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000008 08 02 00   5.28777089 10.05000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000008 08 04 00   5.49491405 18.72000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000008 08 08 00   4.22172089 31.44000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000016 02 01 00   4.32488199 4.24000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000016 02 02 00   4.50699201 8.82000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000016 04 01 00   4.61695802 4.56000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000016 04 02 00   4.90378994 9.67000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000016 04 04 00   5.09731894 19.67000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000016 08 01 00   6.47746089 6.06000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000016 08 02 00   6.14238098 11.76000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000016 08 04 00   5.92249104 22.78000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000016 08 08 00   5.10711994 38.63000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000032 04 01 00   5.13169010 5.07000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000032 04 02 00   5.66172997 11.11000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000032 04 04 00   5.63717593 22.02000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000032 08 01 00   7.46641389 7.04000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000032 08 02 00   7.17890501 13.78000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000032 08 04 00   6.97003410 26.37000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000032 08 08 00   5.92858698 45.26000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000064 08 01 00   8.22287292 7.70000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000064 08 02 00   7.60101492 14.34000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000064 08 04 00   8.24292906 31.64000000
Bench_McLachlan_Carpet_1lev 000010 0020 queenbee   000064 08 08 00   7.38067509 55.35000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000001 01 01 00   4.31161090 4.25000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000002 01 01 00   4.90874003 4.87000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000002 02 01 00   5.28702111 4.99000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000002 02 02 00   5.01386997 9.90000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000004 01 01 00   5.57458706 5.56000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000004 02 01 00   6.09571902 6.00000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000004 02 02 00   6.17563607 12.14000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000004 04 01 00   6.45769206 6.40000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000004 04 02 00   6.70663112 12.98000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000004 04 04 00   5.83782291 22.96000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000008 01 01 00   6.45009810 6.34000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000008 02 01 00   6.93284590 6.85000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000008 02 02 00   6.74269011 13.35000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000008 04 01 00   7.66499491 7.28000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000008 04 02 00   7.55295604 14.86000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000008 04 04 00   7.84472610 30.50000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000008 08 01 00   10.80221701 10.28000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000008 08 02 00   9.69583094 18.97000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000008 08 04 00   9.47960001 36.52000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000008 08 08 00   8.22377890 62.13000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000016 02 01 00   7.56164302 7.50000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000016 02 02 00   7.92276010 15.64000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000016 04 01 00   8.33872201 8.18000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000016 04 02 00   8.65624199 16.93000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000016 04 04 00   9.06401491 35.02000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000016 08 01 00   11.58219003 11.11000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000016 08 02 00   10.74513900 21.07000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000016 08 04 00   10.97339804 41.73000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000016 08 08 00   9.36701293 70.65000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000032 04 01 00   9.08913908 9.01000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000032 04 02 00   9.93024996 19.42000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000032 04 04 00   10.00218710 38.88000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000032 08 01 00   12.90022605 12.46000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000032 08 02 00   11.80972496 23.15000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000032 08 04 00   12.01877888 46.62000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000032 08 08 00   10.56503904 80.68000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000064 08 01 00   13.77081301 13.37000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000064 08 02 00   12.85026910 25.16000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000064 08 04 00   13.06493991 50.84000000
Bench_McLachlan_Carpet_1lev 000010 0025 queenbee   000064 08 08 00   11.79338503 89.84000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000001 01 01 00   8.07034294 8.00000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000002 01 01 00   8.51725991 8.46000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000002 02 01 00   8.77434499 8.69000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000002 02 02 00   9.30627305 18.45000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000004 01 01 00   9.50882790 9.40000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000004 02 01 00   10.25404003 10.19000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000004 02 02 00   9.93681109 19.65000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000004 04 01 00   11.13738288 10.86000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000004 04 02 00   10.75762799 21.18000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000004 04 04 00   10.29982102 40.37000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000008 01 01 00   10.48808808 10.40000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000008 02 01 00   11.34777312 11.24000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000008 02 02 00   11.61901994 22.98000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000008 04 01 00   12.10791498 12.02000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000008 04 02 00   12.43612996 24.49000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000008 04 04 00   12.00686409 46.93000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000008 08 01 00   16.95675189 16.36000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000008 08 02 00   15.57873693 30.32000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000008 08 04 00   14.72761595 57.37000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000008 08 08 00   14.31310301 108.96000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000016 02 01 00   12.83092607 12.69000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000016 02 02 00   12.75074511 25.26000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000016 04 01 00   13.69897303 13.58000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000016 04 02 00   13.54775400 26.78000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000016 04 04 00   13.97681208 54.70000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000016 08 01 00   18.28561203 17.81000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000016 08 02 00   16.42336306 32.31000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000016 08 04 00   16.42514890 64.22000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000016 08 08 00   14.73008806 113.12000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000032 04 01 00   14.49679608 14.37000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000032 04 02 00   14.79855791 29.11000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000032 04 04 00   15.17417404 59.04000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000032 08 01 00   19.65339097 19.13000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000032 08 02 00   17.88508290 34.89000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000032 08 04 00   18.92766697 71.98000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000032 08 08 00   16.62619594 128.52000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000064 08 01 00   20.99104103 20.42000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000064 08 02 00   19.57391190 37.65000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000064 08 04 00   21.04398009 80.52000000
Bench_McLachlan_Carpet_1lev 000010 0030 queenbee   000064 08 08 00   18.09125699 139.85000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000001 01 01 00   18.60676605 18.49000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000002 01 01 00   20.55914289 20.46000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000002 02 01 00   21.11567690 21.00000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000002 02 02 00   21.12278691 41.79000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000004 01 01 00   22.10495392 21.99000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000004 02 01 00   24.01601897 23.77000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000004 02 02 00   23.13655510 45.98000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000004 04 01 00   25.38805209 25.23000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000004 04 02 00   24.91162811 49.41000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000004 04 04 00   23.55984301 91.46000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000008 01 01 00   24.01610303 23.87000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000008 02 01 00   25.11782200 24.98000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000008 02 02 00   24.78022305 49.17000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000008 04 01 00   27.88567888 27.39000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000008 04 02 00   27.39792904 54.32000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000008 04 04 00   25.58380003 100.79000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000008 08 01 00   37.34061292 36.70000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000008 08 02 00   34.31908207 67.68000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000008 08 04 00   30.90955202 121.57000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000008 08 08 00   29.03546606 226.83000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000016 02 01 00   27.07842490 26.89000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000016 02 02 00   28.02433788 55.52000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000016 04 01 00   29.87051788 29.64000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000016 04 02 00   29.45247791 58.13000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000016 04 04 00   30.74716889 121.30000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000016 08 01 00   39.15893105 38.56000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000016 08 02 00   36.60337705 72.08000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000016 08 04 00   36.58784690 143.93000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000016 08 08 00   32.37952709 252.39000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000032 04 01 00   30.99038703 30.78000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000032 04 02 00   32.02707308 63.15000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000032 04 04 00   31.83177897 123.51000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000032 08 01 00   41.83190904 41.20000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000032 08 02 00   39.31356593 77.27000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000032 08 04 00   37.86457191 148.35000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000032 08 08 00   37.02799702 288.06000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000064 08 01 00   43.88937509 43.27000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000064 08 02 00   41.64126807 80.63000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000064 08 04 00   43.30886188 166.22000000
Bench_McLachlan_Carpet_1lev 000010 0040 queenbee   000064 08 08 00   40.38987992 306.79000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000001 01 01 00   36.93129809 36.75000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000002 01 01 00   41.17640598 41.03000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000002 02 01 00   44.90701700 44.51000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000002 02 02 00   43.12124200 85.68000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000004 01 01 00   43.09712991 42.84000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000004 02 01 00   45.82941994 45.57000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000004 02 02 00   45.15762890 89.73000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000004 04 01 00   49.35314199 48.99000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000004 04 02 00   47.79073794 94.66000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000004 04 04 00   48.07013189 190.31000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000008 01 01 00   45.88761102 45.66000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000008 02 01 00   47.87326392 47.65000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000008 02 02 00   47.52522193 94.43000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000008 04 01 00   52.94725706 52.40000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000008 04 02 00   50.97662305 101.27000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000008 04 04 00   49.91004098 195.71000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000008 08 01 00   69.84895894 68.81000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000008 08 02 00   64.30337202 127.01000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000008 08 04 00   61.17781599 239.30000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000008 08 08 00   58.67670603 450.97000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000016 02 01 00   54.20072001 53.94000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000016 02 02 00   54.34956702 106.18000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000016 04 01 00   57.30680796 56.98000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000016 04 02 00   57.81266802 113.06000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000016 04 04 00   57.01435691 222.80000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000016 08 01 00   73.63229006 72.74000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000016 08 02 00   71.46611089 136.25000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000016 08 04 00   68.95855398 268.00000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000016 08 08 00   63.49656588 488.22000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000032 04 01 00   58.22315688 57.89000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000032 04 02 00   57.19039289 112.79000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000032 04 04 00   60.56296206 235.53000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000032 08 01 00   77.02633092 76.15000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000032 08 02 00   71.67237792 141.09000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000032 08 04 00   72.50953107 279.54000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000032 08 08 00   71.89221901 551.84000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000064 08 01 00   79.72543589 78.72000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000064 08 02 00   76.28469704 147.91000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000064 08 04 00   79.45813789 305.16000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000064 08 08 00   69.79828899 541.99000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000001 01 01 00   86.92048394 86.56000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000002 01 01 00   90.59310710 90.20000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000002 02 01 00   92.60329998 92.20000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000002 02 02 00   91.51956795 181.30000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000004 01 01 00   99.35977708 99.05000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000004 02 01 00   103.30395993 102.90000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000004 02 02 00   103.62783197 205.27000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000004 04 01 00   113.27748195 112.50000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000004 04 02 00   109.69068007 217.39000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000004 04 04 00   99.98610305 394.51000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000008 01 01 00   103.91437210 103.46000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000008 02 01 00   110.88415189 110.39000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000008 02 02 00   102.79666589 203.75000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000008 04 01 00   118.65965096 118.04000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000008 04 02 00   111.15007998 220.11000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000008 04 04 00   110.80149204 426.70000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000008 08 01 00   153.31849594 151.81000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000008 08 02 00   140.13946808 276.55000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000008 08 04 00   134.71218697 519.74000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000008 08 08 00   128.84487992 976.47000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000008 08 08 01   128.63244905 978.01000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000008 08 08 02   128.92663906 977.65000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000016 02 01 00   113.69616604 113.14000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000016 02 02 00   115.68996510 226.93000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000016 04 01 00   120.65286310 120.01000000
