
# min
#1:ncores 2:totalwalltime 3:initialise 4:evolve 5:thorns 6:syncs 7:output 8:regrid 9:restrict
    1 166.538   1.234 165.301 151.533  13.013   0.002   0.038   0.121
    2 184.087   1.467 182.617 146.464  32.789   0.002   0.046   2.615
    4 222.507   2.042 220.460 154.111  60.024   0.001   0.057   5.615
    8 249.777   2.394 247.378 161.157  76.278   0.002   0.066   8.865
   16 289.908   3.178 286.723 187.395  83.122   0.001   0.091  14.265
   32 306.595   4.026 302.561 182.373 101.549   0.001   0.135  16.780
   64 325.550   5.807 319.727 182.030 113.278   0.001   0.177  22.330
  128 327.973   9.502 318.444 182.151 109.057   0.001   0.327  24.063
  256 355.912  23.444 332.316 182.260 120.230   0.001   0.702  25.793
  512 410.086  71.320 338.582 180.838 118.263   0.001   2.623  33.638
 1024 606.565 255.550 350.505 185.833 122.054   0.001   7.273  33.686
 2048 1357.896 982.257 375.051 205.373 140.679   0.001  14.646  35.469
