# Cactus benchmark results
#    processes = procs
#    nodes     = procs / ppn
#
# benchmark steps size machine   procs ppn tpp iter   walltime cputime
Bench_McLachlan_Carpet_9lev 000128 0020 kraken   000001 01 01 33   109.19729781 108.99882800
Bench_McLachlan_Carpet_9lev 000128 0020 kraken   000001 01 01 34   109.09158993 108.95080200
Bench_McLachlan_Carpet_9lev 000128 0020 kraken   000002 01 01 33   148.00641775 147.46521000
Bench_McLachlan_Carpet_9lev 000128 0020 kraken   000002 01 01 34   148.16187906 147.77725300
Bench_McLachlan_Carpet_9lev 000128 0020 kraken   000002 02 01 33   102.00947356 101.07031500
Bench_McLachlan_Carpet_9lev 000128 0020 kraken   000002 02 01 34   156.70413160 155.81374400
Bench_McLachlan_Carpet_9lev 000128 0020 kraken   000002 02 02 33   120.50324011 119.90754000
Bench_McLachlan_Carpet_9lev 000128 0020 kraken   000002 02 02 34   120.47982860 120.00346300
Bench_McLachlan_Carpet_9lev 000128 0020 kraken   000004 01 01 33   178.69807887 177.90312300
Bench_McLachlan_Carpet_9lev 000128 0020 kraken   000004 01 01 34   178.83109379 178.35513800
Bench_McLachlan_Carpet_9lev 000128 0020 kraken   000004 02 01 33   125.59497881 124.02373500
Bench_McLachlan_Carpet_9lev 000128 0020 kraken   000004 02 01 34   186.82694960 185.61961300
Bench_McLachlan_Carpet_9lev 000128 0020 kraken   000004 02 02 33   181.93941998 181.19531200
Bench_McLachlan_Carpet_9lev 000128 0020 kraken   000004 02 02 34   181.48260045 180.60730600
Bench_McLachlan_Carpet_9lev 000128 0020 kraken   000004 04 01 34   211.47782874 209.34510400
Bench_McLachlan_Carpet_9lev 000128 0020 kraken   000004 04 02 34   200.71978760 198.68443700
Bench_McLachlan_Carpet_9lev 000128 0020 kraken   000004 04 04 33   149.56758142 148.14525800
Bench_McLachlan_Carpet_9lev 000128 0020 kraken   000004 04 04 34   149.55455232 148.19328600
Bench_McLachlan_Carpet_9lev 000128 0020 kraken   000008 02 01 33   136.45625806 134.60037200
Bench_McLachlan_Carpet_9lev 000128 0020 kraken   000008 02 01 34   209.99556732 208.06101300
Bench_McLachlan_Carpet_9lev 000128 0020 kraken   000008 02 02 33   180.95635247 179.98325900
Bench_McLachlan_Carpet_9lev 000128 0020 kraken   000008 02 02 34   180.68239951 179.73525700
Bench_McLachlan_Carpet_9lev 000128 0020 kraken   000008 04 01 34   237.70729899 234.50266700
Bench_McLachlan_Carpet_9lev 000128 0020 kraken   000008 04 02 34   197.34633946 194.59619800
Bench_McLachlan_Carpet_9lev 000128 0020 kraken   000008 04 04 33   188.64441633 187.08766200
Bench_McLachlan_Carpet_9lev 000128 0020 kraken   000008 04 04 34   188.58916926 187.20766000
Bench_McLachlan_Carpet_9lev 000128 0020 kraken   000016 04 01 34   255.59704399 252.35976700
Bench_McLachlan_Carpet_9lev 000128 0020 kraken   000016 04 02 34   215.29695988 212.00524800
Bench_McLachlan_Carpet_9lev 000128 0020 kraken   000016 04 04 33   215.65991402 213.45737200
Bench_McLachlan_Carpet_9lev 000128 0020 kraken   000016 04 04 34   215.44885087 213.58133100
Bench_McLachlan_Carpet_9lev 000128 0020 kraken   016384 04 01 34   247.56583500 238.97092800
Bench_McLachlan_Carpet_9lev 000128 0020 kraken   016384 04 04 34   235.92132401 234.86663400
Bench_McLachlan_Carpet_9lev 000128 0025 kraken   000001 01 01 33   202.49026227 201.88463000
Bench_McLachlan_Carpet_9lev 000128 0025 kraken   000001 01 01 34   202.58828378 202.18864100
Bench_McLachlan_Carpet_9lev 000128 0025 kraken   000002 01 01 33   264.73202300 264.27650400
Bench_McLachlan_Carpet_9lev 000128 0025 kraken   000002 01 01 34   264.90249634 264.41650800
Bench_McLachlan_Carpet_9lev 000128 0025 kraken   000002 02 01 33   165.44561672 164.02621600
Bench_McLachlan_Carpet_9lev 000128 0025 kraken   000002 02 01 34   264.46396589 263.09642300
Bench_McLachlan_Carpet_9lev 000128 0025 kraken   000002 02 02 33   214.43991065 212.49327000
Bench_McLachlan_Carpet_9lev 000128 0025 kraken   000002 02 02 34   214.37821507 212.40132200
Bench_McLachlan_Carpet_9lev 000128 0025 kraken   000004 01 01 33   328.79410410 327.94450300
Bench_McLachlan_Carpet_9lev 000128 0025 kraken   000004 01 01 34   329.11067104 328.30052900
Bench_McLachlan_Carpet_9lev 000128 0025 kraken   000004 02 01 33   206.90042567 204.72480900
Bench_McLachlan_Carpet_9lev 000128 0025 kraken   000004 02 01 34   336.04583859 333.90087900
Bench_McLachlan_Carpet_9lev 000128 0025 kraken   000004 02 02 33   271.49293232 269.68886600
Bench_McLachlan_Carpet_9lev 000128 0025 kraken   000004 02 02 34   271.63745141 270.14490100
Bench_McLachlan_Carpet_9lev 000128 0025 kraken   000004 04 01 34   372.38452768 367.98705000
Bench_McLachlan_Carpet_9lev 000128 0025 kraken   000004 04 01 40   372.03597379 367.97498500
Bench_McLachlan_Carpet_9lev 000128 0025 kraken   000004 04 01 41   392.82768083 380.37575900
Bench_McLachlan_Carpet_9lev 000128 0025 kraken   000004 04 01 42   373.66510510 369.27107700
Bench_McLachlan_Carpet_9lev 000128 0025 kraken   000004 04 01 50   368.31895638 364.48679000
