# Cactus benchmark results
#    processes = procs
#    nodes     = procs / ppn
#
# benchmark steps size machine   procs ppn tpp iter   walltime cputime
Bench_McLachlan_Carpet_9lev 000016 0013 surveyor   000008 04 01 11   624.81453443 624.81587300
Bench_McLachlan_Carpet_9lev 000016 0013 surveyor   000016 04 01 11   722.29658222 722.29789900
Bench_McLachlan_Carpet_9lev 000016 0013 surveyor   000032 04 01 11   856.51289034 856.51418100
Bench_McLachlan_Carpet_9lev 000016 0013 surveyor   000064 04 01 11   990.83257842 990.83382200
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000004 04 01 12   474.73102307 474.73792200
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000004 04 01 13   474.73304176 474.74013000
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000004 04 01 14   353.43284893 353.44015100
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000004 04 01 15   354.80218959 354.80959700
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000004 04 01 16   354.25393677 354.25944800
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000004 04 01 17   354.24795341 354.25368500
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000004 04 01 24   402.40606427 402.43172300
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000004 04 02 24   368.71265006 368.73671500
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000004 04 04 24   423.47243500 423.49637700
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000008 04 01 12   587.83344865 587.84038800
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000008 04 01 13   587.83427477 587.84117200
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000008 04 01 16   483.27703333 483.28223200
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000008 04 01 17   483.28208899 483.28713400
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000008 04 01 24   539.04188609 539.06714400
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000008 04 02 24   478.89512539 478.91900600
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000008 04 04 24   529.95997810 529.98364000
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000016 04 01 12   621.02077198 621.02724100
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000016 04 01 13   621.02325130 621.02977400
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000016 04 01 16   531.48647189 531.49166300
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000016 04 01 17   531.50013304 531.50524200
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000016 04 01 24   591.86942029 591.89477900
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000016 04 02 24   546.27444744 546.29893600
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000016 04 04 24   601.43862677 601.46170600
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000032 04 01 12   663.63607979 663.64234500
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000032 04 01 17   584.96824789 584.97351100
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000032 04 01 24   647.66671872 647.69216700
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000032 04 02 24   583.07553291 583.10012000
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000032 04 04 24   680.23909044 680.26201800
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000064 04 01 12   704.49752784 704.50370900
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000064 04 01 17   641.53944421 641.54449600
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000064 04 01 24   709.36412024 709.38944500
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000064 04 02 24   672.67334104 672.69806600
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000064 04 04 24   733.98860598 734.01216900
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000128 04 01 12   680.81795001 680.82374700
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000128 04 01 17   613.33822298 613.34337200
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000128 04 01 24   678.77758837 678.80245200
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000128 04 02 24   712.54289889 712.56739100
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000128 04 04 24   777.76560855 777.78945600
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000256 04 01 12   656.88587546 656.89153500
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000256 04 01 17   584.75300932 584.75826400
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000256 04 01 24   648.16144729 648.18662400
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000256 04 02 24   726.10420942 726.12888400
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000256 04 04 24   871.23243618 871.25640300
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000512 04 01 12   629.33461618 629.34111400
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000512 04 01 17   550.75939202 550.76536000
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000512 04 01 24   612.12420130 612.15021700
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000512 04 02 24   660.35826373 660.38315900
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   000512 04 04 24   777.18240929 777.20551700
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   001024 04 01 12   614.91167831 614.91829700
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   001024 04 01 17   540.82126856 540.82751900
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   001024 04 01 24   599.33794880 599.36401100
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   001024 04 02 24   726.01640749 726.04139400
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   001024 04 04 24   801.99207425 802.01554500
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   002048 04 01 12   605.89694047 605.90319800
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   002048 04 01 17   534.18274617 534.18838400
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   002048 04 01 24   591.15428829 591.18018600
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   002048 04 02 24   684.06852770 684.09363500
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   002048 04 04 24   786.45297337 786.47702100
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   004096 04 01 12   610.38005638 610.38661600
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   004096 04 01 17   553.31349373 553.31948300
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   004096 04 01 24   603.95671153 603.98307400
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   004096 04 02 24   621.42736435 621.45178700
Bench_McLachlan_Carpet_9lev 000128 0013 surveyor   004096 04 04 24   723.74744177 723.77182100
Bench_McLachlan_Carpet_9lev 000128 0016 surveyor   000004 04 01 00   854.29521608 854.30252600
Bench_McLachlan_Carpet_9lev 000128 0016 surveyor   000004 04 01 03   877.72644567 877.73262500
Bench_McLachlan_Carpet_9lev 000128 0016 surveyor   000004 04 01 12   856.12551332 856.13247900
Bench_McLachlan_Carpet_9lev 000128 0016 surveyor   000008 04 01 12   997.28535914 997.29286100
Bench_McLachlan_Carpet_9lev 000128 0016 surveyor   000016 04 01 12   1033.45034432 1033.45698300
Bench_McLachlan_Carpet_9lev 000128 0016 surveyor   000032 04 01 12   1080.10361314 1080.11021100
Bench_McLachlan_Carpet_9lev 000128 0016 surveyor   000064 04 01 12   1126.44904256 1126.45584400
Bench_McLachlan_Carpet_9lev 000128 0020 surveyor   000004 04 01 00   1737.21421933 1737.22385900
Bench_McLachlan_Carpet_9lev 000128 0020 surveyor   000004 04 01 03   1771.05630064 1771.06430100
Bench_McLachlan_Carpet_9lev 000128 0025 surveyor   000004 04 01 00   3050.30690145 3050.31646500
Bench_McLachlan_Carpet_9lev 000128 0025 surveyor   000004 04 01 03   3093.32195663 3093.32960000
