# Cactus benchmark results
#    processes = procs
#    nodes     = procs / ppn
#
# benchmark steps size machine   procs ppn tpp iter   walltime cputime
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000001 01 01 00   203.34181004 203.17269400
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000002 01 01 00   216.48381171 214.91743400
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000004 01 01 00   224.79743401 222.67391600
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000004 02 01 00   225.55916500 223.26195300
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000004 02 02 00   227.73820433 448.76805100
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000004 04 01 00   250.15185397 247.88349900
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000004 04 02 00   228.08169453 449.48009900
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000004 04 04 00   217.13066064 842.24063700
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000008 01 01 00   233.10094116 229.75036200
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000008 02 01 00   233.19921911 229.78636000
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000008 02 02 00   244.37134496 477.12581700
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000008 04 01 00   258.23619396 254.33989300
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000008 04 02 00   244.90335442 477.42583900
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000008 04 04 00   249.90565515 961.74010700
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000008 08 01 00   269.97584784 266.77666800
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000008 08 02 00   263.66399936 514.15613600
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000008 08 04 00   251.26438961 962.74016300
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000008 08 08 00   451.35835544 1759.58196800
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000016 01 01 00   251.79208282 248.25551300
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000016 02 01 00   250.43519239 247.35945700
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000016 02 02 00   262.76931463 499.52722200
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000016 04 01 00   272.61282118 268.75279900
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000016 04 02 00   263.38652800 497.81511700
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000016 04 04 00   267.84285138 1015.03143900
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000016 08 01 00   283.82180268 280.40552400
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000016 08 02 00   276.44695753 529.56109800
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000016 08 04 00   269.95993217 1019.53972100
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000016 16 02 00   302.52861096 580.79630100
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000016 16 04 00   287.96300239 1085.59584900
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000016 16 08 00   506.02417788 1958.31438900
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000016 16 16 00   945.63415069 3586.02411700
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000032 02 01 00   244.06186508 240.83505200
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000032 02 02 00   311.07908856 545.71810200
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000032 04 01 00   260.56962053 256.90806000
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000032 04 02 00   307.42328503 541.94187400
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000032 08 02 00   329.18879068 579.17619800
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000032 08 04 00   320.86426466 1168.51303200
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000032 08 08 00   557.53919876 2063.66497100
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000032 16 01 00   301.34188177 297.53859700
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000032 16 02 00   355.17583551 633.57159300
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000032 16 04 00   341.13174056 1237.64134900
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000032 16 08 00   569.41086980 2091.24669300
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000032 16 16 00   1033.12306375 3830.38338700
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000064 04 01 00   289.06331326 285.16581900
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000064 04 02 00   352.71452486 598.60540800
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000064 04 04 00   362.43147997 1209.49558600
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000064 08 01 00   304.82141249 300.97080700
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000064 08 02 00   357.45966333 615.11044000
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000064 08 04 00   364.19004945 1221.94837000
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000064 16 02 00   410.85168504 676.29426200
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000064 16 04 00   389.78656087 1289.66060200
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000064 16 08 00   617.16478157 2196.09324100
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000064 16 16 00   1122.14518604 3964.89579300
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000128 08 01 00   283.19449419 279.26945200
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000128 08 02 00   354.73297941 638.81991800
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000128 08 04 00   351.54334233 1171.76523100
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000128 08 08 00   686.13575692 2212.90629800
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000128 16 01 00   314.41209947 309.90736600
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000128 16 02 00   381.45197367 685.53884100
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000128 16 04 00   381.18182537 1250.76617500
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000128 16 16 00   1238.58164954 4001.79410300
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000256 16 01 00   321.26949165 317.55183900
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000256 16 02 00   353.36466413 627.80722700
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000256 16 04 00   394.88733847 1258.84668200
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000256 16 08 00   750.20929978 2398.59789600
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000256 16 16 00   1296.49837951 4002.73814800
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000512 16 01 00   330.05376020 328.70453600
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000512 16 02 00   370.45905646 641.72410300
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000512 16 04 00   463.38659104 1306.92167900
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000512 16 08 00   817.68327319 2451.90123900
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   000512 16 16 00   1392.72301206 4172.90078600
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   001024 16 01 00   327.57180887 326.18838700
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   001024 16 02 00   393.14333660 665.91761700
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   001024 16 04 00   460.19393866 1323.99474200
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   001024 16 08 00   829.87244544 2422.70740900
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   001024 16 16 00   1417.12743675 4216.83553800
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   002048 16 01 00   336.75282418 335.08493800
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   002048 16 02 00   415.28737663 659.84523800
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   002048 16 04 00   461.46395478 1308.48578000
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   002048 16 08 00   824.18623915 2315.60871300
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   002048 16 16 00   1773.87495286 4689.15305600
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   004096 16 01 00   345.42287805 344.43352700
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   004096 16 02 00   456.01397646 731.16169900
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   004096 16 04 00   468.62811576 1321.83061000
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   004096 16 08 00   781.69233130 2354.10312300
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   008192 16 02 00   408.13220878 671.70598400
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   008192 16 04 00   435.55672982 1382.01036700
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   008192 16 08 00   824.13038674 2327.15343400
Bench_McLachlan_Carpet_1lev 000024 0065 ranger   008192 16 16 00   1644.94038777 4342.18337400
Bench_McLachlan_Carpet_9lev 000000 0025 ranger   000016 16 01 15   1.99500456 1.73611200
Bench_McLachlan_Carpet_9lev 000000 0025 ranger   000016 16 01 16   2.00825253 1.71611100
Bench_McLachlan_Carpet_9lev 000000 0025 ranger   000016 16 01 17   1.99534991 1.74410700
Bench_McLachlan_Carpet_9lev 000000 0025 ranger   000016 16 01 18   1.92537351 1.72410800
Bench_McLachlan_Carpet_9lev 000000 0025 ranger   000016 16 01 19   1.80289350 1.67210600
Bench_McLachlan_Carpet_9lev 000000 0025 ranger   000016 16 01 20   1.89577949 1.72410400
Bench_McLachlan_Carpet_9lev 000000 0025 ranger   000016 16 01 21   2.03105967 1.73610600
Bench_McLachlan_Carpet_9lev 000000 0025 ranger   000016 16 01 22   1.98644780 1.70410400
Bench_McLachlan_Carpet_9lev 000000 0025 ranger   000016 16 01 23   1.98241529 1.72811000
Bench_McLachlan_Carpet_9lev 000000 0025 ranger   000016 16 01 24   2.09280068 1.74410900
Bench_McLachlan_Carpet_9lev 000000 0025 ranger   000016 16 01 25   1.72968587 1.72010700
Bench_McLachlan_Carpet_9lev 000000 0025 ranger   000016 16 01 26   1.83753688 1.66410200
Bench_McLachlan_Carpet_9lev 000000 0025 ranger   000016 16 01 32   1.76542921 1.71211000
Bench_McLachlan_Carpet_9lev 000000 0025 ranger   000016 16 01 33   1.70881499 1.68010700
Bench_McLachlan_Carpet_9lev 000000 0025 ranger   000016 16 01 34   1.71809744 1.72410700
Bench_McLachlan_Carpet_9lev 000000 0025 ranger   000016 16 01 35   1.92583941 1.92412000
Bench_McLachlan_Carpet_9lev 000000 0025 ranger   000016 16 01 36   2.60543477 1.84011200
Bench_McLachlan_Carpet_9lev 000000 0025 ranger   000016 16 01 37   1.78591132 1.67610600
Bench_McLachlan_Carpet_9lev 000000 0025 ranger   000016 16 01 38   1.67977806 1.65610300
Bench_McLachlan_Carpet_9lev 000000 0025 ranger   000016 16 01 39   1.71200809 1.68410800
Bench_McLachlan_Carpet_9lev 000000 0025 ranger   000016 16 01 40   1.92712333 1.71610600
Bench_McLachlan_Carpet_9lev 000000 0025 ranger   000016 16 01 45   10.92630000 10.82467500
Bench_McLachlan_Carpet_9lev 000000 0025 ranger   000016 16 01 46   202.63338200 50.85917400
Bench_McLachlan_Carpet_9lev 000000 0025 ranger   000016 16 01 47   10.95013800 10.73666800
