# Cactus benchmark results
#    processes = procs
#    nodes     = procs / ppn
#
# benchmark steps size machine   procs ppn tpp iter   walltime cputime
Bench_McLachlan_Carpet_1lev 000024 0020 hlrb2   000001 01 01 00   5.13499665 5.14400000
Bench_McLachlan_Carpet_1lev 000024 0065 hlrb2   000001 01 01 00   186.91880655 185.61600000
Bench_McLachlan_Carpet_1lev 000024 0065 hlrb2   000002 02 01 00   220.20438910 219.11600000
Bench_McLachlan_Carpet_1lev 000024 0065 hlrb2   000002 02 02 00   214.55147696 423.92400000
Bench_McLachlan_Carpet_1lev 000024 0065 hlrb2   000004 04 01 00   231.18661833 230.90000000
Bench_McLachlan_Carpet_1lev 000024 0065 hlrb2   000004 04 02 00   251.77147675 492.43200000
Bench_McLachlan_Carpet_1lev 000024 0065 hlrb2   000004 04 04 00   291.56947160 1082.29200000
Bench_McLachlan_Carpet_1lev 000024 0065 hlrb2   000008 08 01 00   284.81413913 284.18800000
Bench_McLachlan_Carpet_1lev 000024 0065 hlrb2   000008 08 02 00   306.43832397 590.70000000
Bench_McLachlan_Carpet_1lev 000024 0065 hlrb2   000008 08 04 00   324.80125213 1212.27600000
Bench_McLachlan_Carpet_1lev 000024 0065 hlrb2   000008 08 08 00   369.53091407 2550.59200000
Bench_McLachlan_Carpet_1lev 000024 0065 hlrb2   000016 16 01 00   301.74512243 301.32800000
Bench_McLachlan_Carpet_1lev 000024 0065 hlrb2   000016 16 02 00   305.04176641 579.66400000
Bench_McLachlan_Carpet_1lev 000024 0065 hlrb2   000016 16 04 00   363.74049592 1335.77600000
Bench_McLachlan_Carpet_1lev 000024 0065 hlrb2   000016 16 08 00   426.92180514 2849.48800000
Bench_McLachlan_Carpet_1lev 000024 0065 hlrb2   000016 16 16 00   474.11036873 5928.32400000
Bench_McLachlan_Carpet_1lev 000024 0065 hlrb2   000032 32 01 00   312.45066810 311.97600000
Bench_McLachlan_Carpet_1lev 000024 0065 hlrb2   000032 32 02 00   350.20448923 654.86000000
Bench_McLachlan_Carpet_1lev 000024 0065 hlrb2   000032 32 04 00   431.81555462 1477.58400000
Bench_McLachlan_Carpet_1lev 000024 0065 hlrb2   000032 32 08 00   471.02439666 3095.39600000
Bench_McLachlan_Carpet_1lev 000024 0065 hlrb2   000032 32 16 00   628.79774189 7100.15200000
Bench_McLachlan_Carpet_1lev 000024 0065 hlrb2   000032 32 32 00   675.18877506 14212.50000000
Bench_McLachlan_Carpet_1lev 000024 0065 hlrb2   000064 64 01 00   335.72597265 335.33600000
Bench_McLachlan_Carpet_1lev 000024 0065 hlrb2   000064 64 02 00   391.93287492 682.36400000
Bench_McLachlan_Carpet_1lev 000024 0065 hlrb2   000064 64 04 00   453.71378946 1517.36000000
Bench_McLachlan_Carpet_1lev 000024 0065 hlrb2   000064 64 08 00   540.30726910 3248.62000000
Bench_McLachlan_Carpet_1lev 000024 0065 hlrb2   000064 64 16 00   732.82437968 7613.05600000
Bench_McLachlan_Carpet_1lev 000024 0065 hlrb2   000064 64 32 00   867.69349027 16565.68400000
Bench_McLachlan_Carpet_1lev 000024 0065 hlrb2   000064 64 64 00   1005.85764909 37395.58400000
Bench_McLachlan_Carpet_9lev 000000 0025 hlrb2   000001 01 01 10   1.29906511 1.20000000
Bench_McLachlan_Carpet_9lev 000000 0025 hlrb2   000002 02 01 10   2.13740206 2.10400000
Bench_McLachlan_Carpet_9lev 000000 0025 hlrb2   000004 04 01 10   2.62449074 2.54800000
Bench_McLachlan_Carpet_9lev 000000 0025 hlrb2   000008 08 01 10   2.21243858 2.19200000
Bench_McLachlan_Carpet_9lev 000000 0025 hlrb2   000016 16 01 10   2.43998551 2.32800000
Bench_McLachlan_Carpet_9lev 000000 0025 hlrb2   000032 32 01 10   2.35174751 2.33200000
Bench_McLachlan_Carpet_9lev 000000 0025 hlrb2   000064 64 01 10   2.89009404 2.89200000
Bench_McLachlan_Carpet_9lev 000000 0025 hlrb2   000128 128 01 10   2.22359061 2.20000000
Bench_McLachlan_Carpet_9lev 000000 0025 hlrb2   000256 256 01 10   2.50717616 2.46800000
Bench_McLachlan_Carpet_9lev 000000 0025 hlrb2   000512 512 01 10   6.91676068 6.71600000
Bench_McLachlan_Carpet_9lev 000000 0025 hlrb2   001024 1024 01 10   30.94050145 30.87600000
Bench_McLachlan_Carpet_9lev 000000 0025 hlrb2   002048 2048 01 10   3.83641720 3.80800000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000001 01 01 00   182.51141620 182.02400000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000001 01 01 10   200.79874182 200.18800000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000002 02 01 00   281.35725307 280.12400000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000002 02 01 10   299.81318593 298.43600000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000002 02 02 00   204.77519417 405.15200000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000004 04 01 00   373.53716779 371.05200000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000004 04 01 10   389.50963879 387.18000000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000004 04 02 00   323.96468210 635.69600000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000004 04 04 00   274.13237286 1066.83600000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000008 08 01 00   416.79449534 413.90000000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000008 08 01 10   431.01822519 428.78400000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000008 08 02 00   402.00020862 783.81200000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000008 08 04 00   471.18366361 1798.19600000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000008 08 08 00   345.37232614 2586.30400000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000016 16 01 00   490.85937953 489.64400000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000016 16 01 10   471.45920944 469.04800000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000016 16 02 00   455.23554587 885.59600000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000016 16 04 00   582.81878591 2200.88000000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000016 16 08 00   639.37896895 4726.56800000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000016 16 16 00   485.79755044 6897.66400000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000032 32 01 00   525.12310481 524.21200000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000032 32 01 10   533.41243887 532.36800000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000032 32 02 00   506.58320308 957.85600000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000032 32 04 00   643.36008477 2417.87600000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000032 32 08 00   858.16334009 6280.97200000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000032 32 16 00   1073.52412605 15029.21600000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000032 32 32 00   796.23935318 20802.44000000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000064 64 01 00   595.84084988 595.24800000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000064 64 01 10   591.00428939 590.34400000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000064 64 02 00   599.32032919 1027.06000000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000064 64 04 00   741.07681203 2395.47200000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000064 64 08 00   926.82490373 6575.82000000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000064 64 16 00   1314.07155108 17533.72400000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000064 64 32 00   1355.17224264 33640.83200000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000064 64 64 00   1319.33960485 57778.41600000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000128 128 01 10   548.16778946 547.12800000
Bench_McLachlan_Carpet_9lev 000128 0025 hlrb2   000256 256 01 10   515.22758889 513.61200000
