# Cactus benchmark results
#    processes = procs
#    nodes     = procs / ppn
#
# benchmark steps size machine   procs ppn tpp iter   walltime cputime
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000001 01 01 00   192.41465856 192.19000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000002 01 01 00   247.58707602 247.54000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000002 02 01 00   252.84641560 252.63000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000002 02 02 00   211.89443066 423.22000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000004 01 01 00   291.86994262 291.58000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000004 02 01 00   299.71507797 299.27000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000004 02 02 00   284.05902364 560.60000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000004 04 01 00   327.73749532 327.60000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000004 04 02 00   306.53941308 601.71000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000004 04 04 00   266.50271884 1047.06000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000008 01 01 00   334.87156639 334.98000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000008 02 01 00   341.38289479 341.18000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000008 02 02 00   329.95559572 650.56000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000008 04 01 00   363.86975480 363.84000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000008 04 02 00   347.63124832 685.44000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000008 04 04 00   349.35187769 1372.93000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000008 08 01 00   472.02766403 471.96000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000008 08 02 00   432.37333332 848.06000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000008 08 04 00   405.74953017 1589.56000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000008 08 08 00   311.92569237 2418.38000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000016 02 01 00   376.39248101 376.05000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000016 02 02 00   360.33294887 704.33000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000016 04 01 00   391.21701541 391.10000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000016 04 02 00   376.96218700 738.11000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000016 04 04 00   427.00053038 1655.09000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000016 08 01 00   487.31315479 487.13000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000016 08 02 00   450.30715053 886.20000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000016 08 04 00   478.74580880 1858.89000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000016 08 08 00   451.08012243 3476.24000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000032 04 01 00   412.51873882 412.45000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000032 04 02 00   397.65224627 781.26000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000032 04 04 00   494.58752844 1893.86000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000032 08 01 00   521.08718036 520.56000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000032 08 02 00   462.28543603 901.44000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000032 08 04 00   536.74782493 2071.99000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000032 08 08 00   553.78660053 4207.04000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000064 08 01 00   534.01307232 534.02000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000064 08 02 00   514.00439649 964.46000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000064 08 04 00   589.64245797 2178.76000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000064 08 08 00   648.65108784 4776.36000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000128 08 01 00   521.74439626 521.24000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000128 08 02 00   511.19930447 956.29000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000128 08 04 00   619.28712022 2143.82000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000128 08 08 00   695.10842290 5124.03000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000256 08 01 00   514.35862553 514.12000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000256 08 02 00   528.11674355 977.45000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000256 08 04 00   625.20248372 2171.54000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000256 08 08 00   750.10765112 5297.43000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000512 08 01 00   508.68920159 508.38000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000512 08 02 00   521.84319640 969.64000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000512 08 04 00   595.94903104 2098.18000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   000512 08 08 00   820.56607938 4984.09000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   001024 08 01 00   483.79867738 483.14000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   001024 08 02 00   537.76884637 990.30000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   001024 08 04 00   619.06761756 2145.23000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   001024 08 08 00   794.11657260 5014.59000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   002048 08 02 00   526.11768787 968.65000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   002048 08 04 00   624.46017058 2173.93000000
Bench_McLachlan_Carpet_9lev 000128 0025 queenbee   002048 08 08 00   751.06089897 4937.30000000
