# Cactus benchmark results
#    processes = procs
#    nodes     = procs / ppn
#
# benchmark steps size machine   procs ppn tpp iter   walltime cputime
Bench_McLachlan_Carpet_9lev 000016 0020 sicortex   000009 03 01 09   160.97924924 160.90000000
Bench_McLachlan_Carpet_9lev 000016 0020 sicortex   000012 02 01 09   169.91864061 169.83800000
Bench_McLachlan_Carpet_9lev 000016 0020 sicortex   000012 06 01 09   216.23553324 216.08500000
Bench_McLachlan_Carpet_9lev 000016 0020 sicortex   000018 03 01 09   194.86012912 194.76400000
Bench_McLachlan_Carpet_9lev 000016 0020 sicortex   000018 06 01 09   209.45180464 209.34200000
Bench_McLachlan_Carpet_9lev 000016 0020 sicortex   000036 06 01 09   218.57264876 218.44500000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000001 01 01 09   577.03916478 576.51300000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000001 01 01 10   584.84026647 584.26700000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000002 01 01 09   1063.53720546 1062.85200000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000002 01 01 10   1073.46784306 1072.78200000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000002 02 01 09   886.65131402 886.22300000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000002 02 01 10   879.80119944 879.30700000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000002 02 02 10   1080.79185009 2041.34200000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000003 01 01 09   1637.62942624 1636.88100000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000003 01 01 10   1658.30288005 1657.51800000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000003 03 01 09   1014.73026657 1014.23700000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000003 03 01 10   991.87625074 991.39300000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000003 03 03 10   1350.42324567 3631.75200000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000004 02 01 09   1555.37436056 1554.86200000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000004 02 01 10   1548.87241173 1548.36700000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000004 02 02 10   1990.86815596 3806.46600000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000006 01 01 09   2953.73614597 2952.76700000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000006 01 01 10   3058.68801212 3057.59900000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000006 02 01 09   2192.51062202 2192.05300000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000006 02 01 10   2160.93858528 2160.50300000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000006 02 02 10   2905.12031174 5576.29500000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000006 03 01 09   1811.42113948 1810.98300000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000006 03 01 10   1783.56004071 1783.05200000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000006 03 03 10   2471.15107203 6736.12300000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000006 06 01 09   1312.47908449 1311.62500000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000006 06 01 10   1256.62998867 1255.75800000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000006 06 02 10   5779.03792477 2972.75600000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000006 06 03 10   7082.16307092 5182.78300000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000006 06 06 10   1992.49259830 9297.26600000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000009 03 01 09   1150.66821122 1150.17600000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000009 03 01 10   1634.80302310 1634.35900000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000009 03 03 10   3699.17927527 10041.99900000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000012 02 01 09   1206.51082349 1206.05800000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000012 02 01 10   2445.88993430 2445.16000000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000012 02 02 10   4919.54614115 9497.25900000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000012 06 01 09   1536.47537231 1535.58100000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000012 06 01 10   1487.75196719 1486.85700000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000012 06 02 10   10569.93517756 5442.61700000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000012 06 03 10   10535.11860585 8066.33800000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000012 06 06 10   3076.13520050 15588.30900000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000018 03 01 09   1386.79382586 1386.32300000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000018 03 01 10   2212.76893878 2212.24700000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000018 03 03 10   6044.88727355 16669.88300000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000018 06 01 09   1490.72433352 1489.82600000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000018 06 01 10   1449.57670307 1448.65400000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000018 06 02 10   9206.37890959 4956.86500000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000018 06 06 10   4521.90128183 23111.06500000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000036 06 01 09   1556.78021669 1555.88500000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000036 06 01 10   1506.67594385 1505.71200000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000036 06 02 10   11190.43197107 5677.51000000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000048 06 01 09   1805.66064787 1804.73900000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000048 06 01 10   1766.07638407 1765.00800000
Bench_McLachlan_Carpet_9lev 000128 0020 sicortex   000096 06 01 09   1729.37948060 1728.85000000
