# Cactus benchmark results
#    processes = procs
#    nodes     = procs / ppn
#
# benchmark steps size machine   procs ppn tpp iter   walltime cputime
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   000001 01 01 00   1.56899407 1.52809600
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   000002 01 01 00   2.04139105 2.00012500
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   000004 02 01 00   2.55302600 2.49615600
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   000004 02 02 00   2.54489193 5.00431300
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   000004 04 04 00   2.89985290 10.02462600
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   000008 01 01 00   3.18305703 3.14419700
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   000008 04 01 00   3.40544307 3.34020900
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   000008 08 01 00   3.64233502 3.61222600
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   000008 08 02 00   3.62558490 7.08844300
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   000008 08 04 00   3.44682397 13.58084800
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   000008 08 08 00   5.72743808 22.55741000
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   000016 01 01 00   3.76735695 3.69223100
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   000016 02 01 00   3.82754004 3.74823400
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   000016 02 02 00   4.34812700 8.57253500
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   000016 04 04 00   4.95004608 19.27720500
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   000016 08 08 00   7.88443006 30.86992900
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   000016 16 01 00   4.81612002 4.73229600
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   000016 16 02 00   5.12342409 9.96062200
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   000016 16 04 00   5.13523198 19.92124500
