# Cactus benchmark results
#    processes = procs
#    nodes     = procs / ppn
#
# benchmark steps size machine   procs ppn tpp iter   walltime cputime
Bench_McLachlan_Carpet_9lev 000128 0016 franklin   000001 01 01 00   46.59141803 46.54692400
Bench_McLachlan_Carpet_9lev 000128 0016 franklin   000002 02 01 00   64.66142988 64.03200700
Bench_McLachlan_Carpet_9lev 000128 0016 franklin   000002 02 02 00   106.16554523 106.07061500
Bench_McLachlan_Carpet_9lev 000128 0016 franklin   000004 04 01 00   99.28665590 97.61407500
Bench_McLachlan_Carpet_9lev 000128 0016 franklin   000004 04 02 00   138.40062428 137.36857400
Bench_McLachlan_Carpet_9lev 000128 0016 franklin   000004 04 04 00   185.69085288 185.13554300
Bench_McLachlan_Carpet_9lev 000128 0016 franklin   000008 04 01 00   134.16131091 131.96025200
Bench_McLachlan_Carpet_9lev 000128 0016 franklin   000008 04 02 00   193.42913461 191.87198200
Bench_McLachlan_Carpet_9lev 000128 0016 franklin   000008 04 04 00   254.52130032 253.30783200
Bench_McLachlan_Carpet_9lev 000128 0016 franklin   000016 04 01 00   146.17235804 144.01698800
Bench_McLachlan_Carpet_9lev 000128 0016 franklin   000016 04 02 00   206.43724728 204.82077300
Bench_McLachlan_Carpet_9lev 000128 0016 franklin   000016 04 04 00   349.00458694 347.49770200
Bench_McLachlan_Carpet_9lev 000128 0020 franklin   000001 01 01 00   109.02620959 108.30275200
Bench_McLachlan_Carpet_9lev 000128 0020 franklin   000002 02 01 00   153.42561579 152.54552000
Bench_McLachlan_Carpet_9lev 000128 0020 franklin   000002 02 02 00   205.82838392 205.10481500
Bench_McLachlan_Carpet_9lev 000128 0020 franklin   000004 04 01 00   200.73065782 198.60041000
Bench_McLachlan_Carpet_9lev 000128 0020 franklin   000004 04 02 00   312.24916768 310.29545300
Bench_McLachlan_Carpet_9lev 000128 0020 franklin   000004 04 04 00   413.10681486 410.76164900
Bench_McLachlan_Carpet_9lev 000128 0020 franklin   000008 04 01 00   226.20393562 223.07393600
Bench_McLachlan_Carpet_9lev 000128 0020 franklin   000008 04 02 00   308.03878021 305.65912700
Bench_McLachlan_Carpet_9lev 000128 0020 franklin   000008 04 04 00   497.83455467 495.27092500
Bench_McLachlan_Carpet_9lev 000128 0020 franklin   000016 04 01 00   243.05851984 240.24699000
Bench_McLachlan_Carpet_9lev 000128 0020 franklin   000016 04 02 00   334.25339341 330.78065500
Bench_McLachlan_Carpet_9lev 000128 0020 franklin   000016 04 04 00   555.86645508 552.71452600
Bench_McLachlan_Carpet_9lev 000128 0025 franklin   000001 01 01 00   200.52615380 200.11651900
Bench_McLachlan_Carpet_9lev 000128 0025 franklin   000002 02 01 00   258.85028219 257.58810300
Bench_McLachlan_Carpet_9lev 000128 0025 franklin   000002 02 02 00   376.77956176 374.53139800
Bench_McLachlan_Carpet_9lev 000128 0025 franklin   000004 04 01 00   356.12734818 352.49403200
Bench_McLachlan_Carpet_9lev 000128 0025 franklin   000004 04 02 00   467.80149412 464.40499100
Bench_McLachlan_Carpet_9lev 000128 0025 franklin   000004 04 04 00   703.13283277 698.62764900
Bench_McLachlan_Carpet_9lev 000128 0025 franklin   000008 04 01 00   387.94961166 383.00392000
Bench_McLachlan_Carpet_9lev 000128 0025 franklin   000008 04 02 00   529.59994006 524.28075700
Bench_McLachlan_Carpet_9lev 000128 0025 franklin   000008 04 04 00   827.06824517 821.43530600
Bench_McLachlan_Carpet_9lev 000128 0025 franklin   000016 04 01 00   415.75278378 411.28570600
Bench_McLachlan_Carpet_9lev 000128 0025 franklin   000016 04 02 00   600.05137348 593.86910000
Bench_McLachlan_Carpet_9lev 000128 0025 franklin   000016 04 04 00   999.85881615 992.26602400
Bench_McLachlan_Carpet_9lev 000128 0025 franklin   000032 04 01 00   433.85825539 429.98283300
Bench_McLachlan_Carpet_9lev 000128 0025 franklin   000064 04 01 00   454.07660961 451.30421500
Bench_McLachlan_Carpet_9lev 000128 0025 franklin   000128 04 01 00   423.68280458 420.67826400
Bench_McLachlan_Carpet_9lev 000128 0025 franklin   000256 04 01 00   396.90142655 393.84460100
Bench_McLachlan_Carpet_9lev 000128 0025 franklin   000512 04 01 00   368.35541272 365.66287100
Bench_McLachlan_Carpet_9lev 000128 0025 franklin   001024 04 01 00   347.23339319 344.68554700
Bench_McLachlan_Carpet_9lev 000128 0025 franklin   004816 04 01 00   339.97812581 337.50111100
Bench_McLachlan_Carpet_9lev 000128 0025 franklin   008192 04 01 00   350.57442069 348.11775800
Bench_McLachlan_Carpet_9lev 000128 0030 franklin   000001 01 01 00   342.52737689 341.37732300
Bench_McLachlan_Carpet_9lev 000128 0030 franklin   000002 02 01 00   411.65423775 409.59765500
Bench_McLachlan_Carpet_9lev 000128 0030 franklin   000002 02 02 00   675.66905141 672.46602300
Bench_McLachlan_Carpet_9lev 000128 0030 franklin   000004 04 01 00   540.94369054 532.70927500
Bench_McLachlan_Carpet_9lev 000128 0030 franklin   000004 04 02 00   788.15172911 781.74488600
Bench_McLachlan_Carpet_9lev 000128 0030 franklin   000004 04 04 00   1095.25965381 1087.87998700
Bench_McLachlan_Carpet_9lev 000128 0030 franklin   000008 04 01 00   593.98074484 585.41257700
Bench_McLachlan_Carpet_9lev 000128 0030 franklin   000008 04 02 00   827.25919771 818.51112900
Bench_McLachlan_Carpet_9lev 000128 0030 franklin   000008 04 04 00   1241.78931952 1230.92093400
Bench_McLachlan_Carpet_9lev 000128 0030 franklin   000016 04 01 00   617.07089901 610.27012600
Bench_McLachlan_Carpet_9lev 000128 0030 franklin   000016 04 02 00   972.72111559 961.15606200
Bench_McLachlan_Carpet_9lev 000128 0030 franklin   000016 04 04 00   1827.67744350 1814.06942400
