# Cactus benchmark results
#    processes = procs
#    nodes     = procs / ppn
#
# benchmark steps size machine   procs ppn tpp iter   walltime cputime
Bench_Ccatie_Carpet_1lev 000010 0065 ranger   000016 16 01 40   333.14098602 114.16713500
Bench_Ccatie_Carpet_1lev 000010 0065 ranger   000016 16 01 41   201.71721602 113.54709600
Bench_Ccatie_Carpet_1lev 000010 0065 ranger   000032 16 01 40   520.77710292 131.46821600
Bench_Ccatie_Carpet_1lev 000010 0065 ranger   000032 16 01 41   227.04488905 225.31008100
Bench_Ccatie_Carpet_1lev 000010 0065 ranger   000064 16 01 40   293.56479706 208.64504000
Bench_Ccatie_Carpet_1lev 000010 0065 ranger   000064 16 01 41   122.61083311 120.93555800
Bench_Ccatie_Carpet_1lev 000010 0065 ranger   000128 16 01 40   494.28259990 201.48859200
Bench_Ccatie_Carpet_1lev 000010 0065 ranger   000128 16 01 41   131.82398709 128.95205900
Bench_Ccatie_Carpet_1lev 000010 0065 ranger   000256 16 01 40   440.60866705 147.62522600
Bench_Ccatie_Carpet_1lev 000010 0065 ranger   000256 16 01 41   128.84471088 128.08400500
Bench_Ccatie_Carpet_1lev 000010 0065 ranger   000512 16 01 40   554.77912908 396.13675700
Bench_Ccatie_Carpet_1lev 000010 0065 ranger   000512 16 01 41   135.89035905 134.93243300
Bench_Ccatie_Carpet_1lev 000010 0065 ranger   001024 16 01 40   409.23671808 231.45046500
Bench_Ccatie_Carpet_1lev 000010 0065 ranger   001024 16 01 41   143.89884512 143.24495200
Bench_Ccatie_Carpet_9lev 000064 0030 ranger   000016 16 01 40   244.02909394 231.08644200
Bench_Ccatie_Carpet_9lev 000064 0030 ranger   000016 16 01 41   266.96677105 231.18244800
Bench_Ccatie_Carpet_9lev 000064 0030 ranger   000032 16 01 40   716.68895691 246.68341700
Bench_Ccatie_Carpet_9lev 000064 0030 ranger   000032 16 01 41   276.37650499 245.92737000
Bench_Ccatie_Carpet_9lev 000064 0030 ranger   000064 16 01 40   276.20149602 273.77711000
Bench_Ccatie_Carpet_9lev 000064 0030 ranger   000064 16 01 41   385.29120591 273.87711700
Bench_Ccatie_Carpet_9lev 000064 0030 ranger   000128 16 01 40   823.40794910 556.27076500
Bench_Ccatie_Carpet_9lev 000064 0030 ranger   000128 16 01 41   318.05942189 314.63566300
Bench_Ccatie_Carpet_9lev 000064 0030 ranger   000256 16 01 40   730.30964492 335.48096600
Bench_Ccatie_Carpet_9lev 000064 0030 ranger   000256 16 01 41   338.62136312 337.50509200
Bench_Ccatie_Carpet_9lev 000064 0030 ranger   000512 16 01 40   404.28528112 399.41296200
Bench_Ccatie_Carpet_9lev 000064 0030 ranger   000512 16 01 41   401.76724304 400.29701700
Bench_Ccatie_PUGH 000010 0065 ranger   000016 16 01 40   114.56377706 113.27908000
Bench_Ccatie_PUGH 000010 0065 ranger   000032 16 01 40   125.26716707 123.77573600
Bench_Ccatie_PUGH 000010 0065 ranger   000064 16 01 40   133.57158592 128.98806100
Bench_Ccatie_PUGH 000010 0065 ranger   000128 16 01 40   130.90429608 129.59209900
Bench_Ccatie_PUGH 000010 0065 ranger   000256 16 01 40   444.25561904 294.54240800
Bench_Ccatie_PUGH 000010 0065 ranger   000512 16 01 40   448.87812000 272.22101300
Bench_Ccatie_PUGH 000010 0065 ranger   002048 16 01 40   143.66776699 143.25295300
Bench_Ccatie_PUGH 000010 0065 ranger   004096 16 01 40   150.53889298 147.78923700
Bench_CTGamma_Carpet_1lev 000010 0065 ranger   000016 16 01 40   280.70367091 135.71248100
Bench_CTGamma_Carpet_1lev 000010 0065 ranger   000016 16 01 41   139.46612200 135.55247200
Bench_CTGamma_Carpet_1lev 000010 0065 ranger   000016 16 04 40   286.68635600 589.91686800
Bench_CTGamma_Carpet_1lev 000010 0065 ranger   000016 16 04 41   154.14154712 582.30439200
Bench_CTGamma_Carpet_1lev 000010 0065 ranger   000032 16 01 40   417.97198997 214.24138900
Bench_CTGamma_Carpet_1lev 000010 0065 ranger   000032 16 01 41   147.47970190 142.77692300
Bench_CTGamma_Carpet_1lev 000010 0065 ranger   000032 16 04 40   293.56962694 580.78029600
Bench_CTGamma_Carpet_1lev 000010 0065 ranger   000032 16 04 41   419.57306402 840.18850900
Bench_CTGamma_Carpet_1lev 000010 0065 ranger   000064 16 01 40   359.91396805 151.82148800
Bench_CTGamma_Carpet_1lev 000010 0065 ranger   000064 16 04 40   164.99717203 567.26345100
Bench_CTGamma_Carpet_1lev 000010 0065 ranger   000064 16 04 41   168.27163891 576.60403600
Bench_CTGamma_Carpet_1lev 000010 0065 ranger   000128 16 01 40   244.59680204 149.66935300
Bench_CTGamma_Carpet_1lev 000010 0065 ranger   000128 16 01 41   144.26869906 141.76886000
Bench_CTGamma_Carpet_1lev 000010 0065 ranger   000128 16 04 40   282.19393902 642.26413900
Bench_CTGamma_Carpet_1lev 000010 0065 ranger   000128 16 04 41   167.85071797 577.13606900
Bench_CTGamma_Carpet_1lev 000010 0065 ranger   000256 16 01 40   251.48085198 216.23751400
Bench_CTGamma_Carpet_1lev 000010 0065 ranger   000256 16 01 41   146.52725592 145.58509900
Bench_CTGamma_Carpet_1lev 000010 0065 ranger   000256 16 04 40   167.33567390 609.13406900
Bench_CTGamma_Carpet_1lev 000010 0065 ranger   000256 16 04 41   167.10721291 608.07000200
Bench_CTGamma_Carpet_1lev 000010 0065 ranger   000512 16 01 40   251.34159390 214.84942700
Bench_CTGamma_Carpet_1lev 000010 0065 ranger   000512 16 04 40   176.81321009 616.53453100
Bench_CTGamma_Carpet_1lev 000010 0065 ranger   000512 16 04 41   167.19766699 606.55390700
Bench_CTGamma_Carpet_1lev 000010 0065 ranger   001024 16 01 40   454.44426992 297.27457800
Bench_CTGamma_Carpet_1lev 000010 0065 ranger   001024 16 04 40   175.01455696 621.65085100
Bench_CTGamma_Carpet_1lev 000010 0065 ranger   001024 16 04 41   169.58094890 616.21451100
Bench_CTGamma_Carpet_1lev 000010 0065 ranger   002048 16 04 41   177.16498610 614.54640600
Bench_CTGamma_Carpet_1lev 000010 0065 ranger   004096 16 04 40   216.95203610 665.17357100
Bench_CTGamma_Carpet_1lev 000010 0065 ranger   004096 16 04 41   266.73550196 711.45246300
Bench_CTGamma_Carpet_9lev 000064 0030 ranger   000016 16 01 40   259.69393900 255.89999300
Bench_CTGamma_Carpet_9lev 000064 0030 ranger   000016 16 01 41   257.39437389 256.39202300
Bench_CTGamma_Carpet_9lev 000064 0030 ranger   000016 16 04 40   450.52945199 1605.84435900
Bench_CTGamma_Carpet_9lev 000064 0030 ranger   000016 16 04 41   451.34003402 1595.89973700
Bench_CTGamma_Carpet_9lev 000064 0030 ranger   000032 16 01 40   274.89684298 273.42508800
Bench_CTGamma_Carpet_9lev 000064 0030 ranger   000032 16 01 41   275.25543494 273.93311900
Bench_CTGamma_Carpet_9lev 000064 0030 ranger   000032 16 04 40   444.12817392 1563.27369800
Bench_CTGamma_Carpet_9lev 000064 0030 ranger   000032 16 04 41   446.81772195 1571.73422700
Bench_CTGamma_Carpet_9lev 000064 0030 ranger   000064 16 01 40   296.62987002 293.05031500
Bench_CTGamma_Carpet_9lev 000064 0030 ranger   000064 16 01 41   313.89579088 310.31939300
Bench_CTGamma_Carpet_9lev 000064 0030 ranger   000064 16 04 40   383.26135197 1391.45096100
Bench_CTGamma_Carpet_9lev 000064 0030 ranger   000064 16 04 41   390.01977801 1391.05893600
Bench_CTGamma_Carpet_9lev 000064 0030 ranger   000128 16 01 40   331.04615692 329.92061800
Bench_CTGamma_Carpet_9lev 000064 0030 ranger   000128 16 01 41   313.86091888 311.96749700
Bench_CTGamma_Carpet_9lev 000064 0030 ranger   000128 16 04 40   399.18387491 1399.19544400
Bench_CTGamma_Carpet_9lev 000064 0030 ranger   000128 16 04 41   402.04046012 1381.69435000
Bench_CTGamma_Carpet_9lev 000064 0030 ranger   000256 16 01 40   332.02356008 330.07662900
Bench_CTGamma_Carpet_9lev 000064 0030 ranger   000256 16 01 41   330.92490806 329.55659600
Bench_CTGamma_Carpet_9lev 000064 0030 ranger   000256 16 04 40   454.31511009 1502.48590000
Bench_CTGamma_Carpet_9lev 000064 0030 ranger   000256 16 04 41   456.42794790 1494.41339500
Bench_CTGamma_Carpet_9lev 000064 0030 ranger   000512 16 01 40   747.16735111 422.37839700
Bench_CTGamma_Carpet_9lev 000064 0030 ranger   000512 16 01 41   391.36675998 387.15619600
Bench_CTGamma_Carpet_9lev 000064 0030 ranger   000512 16 04 40   476.71211406 1520.55902900
Bench_CTGamma_Carpet_9lev 000064 0030 ranger   000512 16 04 41   484.33262493 1537.50008800
Bench_CTGamma_Carpet_9lev 000064 0030 ranger   001024 16 04 40   477.45919795 1535.93199000
Bench_CTGamma_Carpet_9lev 000064 0030 ranger   001024 16 04 41   477.58676011 1541.10831300
Bench_CTGamma_Carpet_9lev 000064 0030 ranger   002048 16 04 40   494.83947407 1562.13362700
Bench_CTGamma_Carpet_9lev 000064 0030 ranger   002048 16 04 41   487.02228299 1545.10456300
Bench_CTGamma_Carpet_9lev 000064 0030 ranger   004096 16 04 40   633.72158795 1779.80323100
Bench_CTGamma_Carpet_9lev 000064 0030 ranger   004096 16 04 41   623.40026190 1768.00649300
Bench_CTGamma_PUGH 000010 0065 ranger   000016 16 01 40   253.57324608 140.61278800
Bench_CTGamma_PUGH 000010 0065 ranger   000016 16 04 40   146.94515193 542.49390300
Bench_CTGamma_PUGH 000010 0065 ranger   000032 16 01 40   230.75634490 143.10494300
Bench_CTGamma_PUGH 000010 0065 ranger   000032 16 04 40   163.93072194 578.12013100
Bench_CTGamma_PUGH 000010 0065 ranger   000064 16 01 40   272.48899107 194.37614800
Bench_CTGamma_PUGH 000010 0065 ranger   000064 16 04 40   166.40882194 581.33633100
Bench_CTGamma_PUGH 000010 0065 ranger   000128 16 01 40   305.40636803 194.46815300
