# Cactus benchmark results
#    processes = procs
#    nodes     = procs / ppn
#
# benchmark steps size machine   procs ppn tpp iter   walltime cputime
Bench_McLachlan_Carpet_1lev 000010 0020 kraken   000001 01 01 02   7.94787478 7.93249400
Bench_McLachlan_Carpet_1lev 000010 0020 kraken   000002 01 01 02   9.26108479 9.27258000
Bench_McLachlan_Carpet_1lev 000010 0020 kraken   000002 02 01 02   9.36145306 9.31658700
Bench_McLachlan_Carpet_1lev 000010 0020 kraken   000002 02 02 02   16.08203602 16.05700600
Bench_McLachlan_Carpet_1lev 000010 0020 kraken   000004 01 01 02   10.67179680 10.63266800
Bench_McLachlan_Carpet_1lev 000010 0020 kraken   000004 02 01 02   11.27463484 11.21670000
Bench_McLachlan_Carpet_1lev 000010 0020 kraken   000004 02 02 02   19.23526311 19.18919600
Bench_McLachlan_Carpet_1lev 000010 0020 kraken   000004 04 01 00   11.60254765 11.46872000
Bench_McLachlan_Carpet_1lev 000010 0020 kraken   000004 04 01 02   11.55528212 11.45271400
Bench_McLachlan_Carpet_1lev 000010 0020 kraken   000004 04 02 02   18.88284779 18.80917300
Bench_McLachlan_Carpet_1lev 000010 0020 kraken   000004 04 04 02   32.62604594 32.62603600
Bench_McLachlan_Carpet_1lev 000010 0020 kraken   000008 02 01 02   12.22258759 12.16075600
Bench_McLachlan_Carpet_1lev 000010 0020 kraken   000008 02 02 02   21.00340366 20.95331000
Bench_McLachlan_Carpet_1lev 000010 0020 kraken   000008 04 01 02   12.75144887 12.66879000
Bench_McLachlan_Carpet_1lev 000010 0020 kraken   000008 04 02 02   21.47143698 21.38933500
Bench_McLachlan_Carpet_1lev 000010 0020 kraken   000008 04 04 02   36.18515110 36.16226200
Bench_McLachlan_Carpet_1lev 000010 0020 kraken   000016 04 01 02   14.79342532 14.70491800
Bench_McLachlan_Carpet_1lev 000010 0020 kraken   000016 04 02 02   26.46943021 26.40965100
Bench_McLachlan_Carpet_1lev 000010 0020 kraken   000016 04 04 02   38.64918733 38.62241100
Bench_McLachlan_Carpet_1lev 000010 0040 kraken   000004 04 01 12   27.21192789 26.64166500
Bench_McLachlan_Carpet_1lev 000010 0040 kraken   000008 04 01 12   28.44224620 27.86974100
Bench_McLachlan_Carpet_1lev 000010 0040 kraken   000016 04 01 12   30.56476092 30.08188200
Bench_McLachlan_Carpet_1lev 000010 0040 kraken   000032 04 01 12   35.21725655 34.79417600
Bench_McLachlan_Carpet_1lev 000010 0040 kraken   000064 04 01 12   36.77948976 36.50628200
Bench_McLachlan_Carpet_1lev 000010 0040 kraken   000128 04 01 12   36.81042242 36.57428400
Bench_McLachlan_Carpet_1lev 000010 0040 kraken   000256 04 01 12   34.36209798 34.08612900
Bench_McLachlan_Carpet_1lev 000010 0040 kraken   000512 04 01 12   32.68366075 32.38602700
Bench_McLachlan_Carpet_1lev 000010 0040 kraken   001024 04 01 12   32.57933545 32.22201500
Bench_McLachlan_Carpet_1lev 000010 0040 kraken   002048 04 01 12   32.94867969 32.64603700
Bench_McLachlan_Carpet_1lev 000010 0050 kraken   000004 04 01 12   47.53453064 46.63891600
Bench_McLachlan_Carpet_1lev 000010 0050 kraken   000008 04 01 12   57.37259865 55.95150100
Bench_McLachlan_Carpet_1lev 000010 0050 kraken   000016 04 01 12   61.84874105 61.02382200
Bench_McLachlan_Carpet_1lev 000010 0050 kraken   000032 04 01 12   63.57527709 62.93193100
Bench_McLachlan_Carpet_1lev 000010 0050 kraken   000064 04 01 12   60.43496895 60.02775000
Bench_McLachlan_Carpet_1lev 000010 0050 kraken   000128 04 01 12   62.58501983 62.20388500
Bench_McLachlan_Carpet_1lev 000010 0050 kraken   001024 04 01 12   60.39621639 59.78773300
Bench_McLachlan_Carpet_1lev 000010 0050 kraken   004096 04 01 12   64.66578913 64.03600400
Bench_McLachlan_Carpet_1lev 000010 0065 kraken   000001 01 01 02   290.59384036 290.42214400
Bench_McLachlan_Carpet_1lev 000010 0065 kraken   000002 01 01 02   322.72628903 322.52815700
Bench_McLachlan_Carpet_1lev 000010 0065 kraken   000002 02 01 02   315.50726414 314.96368700
Bench_McLachlan_Carpet_1lev 000010 0065 kraken   000002 02 02 02   566.60829949 566.32739300
Bench_McLachlan_Carpet_1lev 000010 0065 kraken   000004 01 01 02   319.04495120 318.80392300
Bench_McLachlan_Carpet_1lev 000010 0065 kraken   000004 02 01 02   326.05179238 325.57634500
Bench_McLachlan_Carpet_1lev 000010 0065 kraken   000004 02 02 02   608.65147138 608.28201300
Bench_McLachlan_Carpet_1lev 000010 0065 kraken   000004 04 01 02   338.25178266 337.01706500
Bench_McLachlan_Carpet_1lev 000010 0065 kraken   000004 04 01 12   113.96951675 112.35102400
Bench_McLachlan_Carpet_1lev 000010 0065 kraken   000004 04 01 13   114.07574987 112.41902600
Bench_McLachlan_Carpet_1lev 000010 0065 kraken   000004 04 02 02   602.51760316 601.32958500
Bench_McLachlan_Carpet_1lev 000010 0065 kraken   000004 04 04 02   1188.90550756 1188.34226800
